 Category 	 UT 	 Test cases 	 Passed 	 Skipped 	 Failures 
distributed/optim	 test_apply_optimizer_in_backward 	5	5	0	0
distributed/optim	 test_named_optimizer 	8	8	0	0
distributed/optim	 test_zero_redundancy_optimizer 	42	42	0	0
distributed/pipelining	test_backward 	10	7	3	0
distributed/pipelining	test_microbatch 	4	3	1	0
distributed/pipelining	test_pipe 	3	3	0	0
distributed/pipelining	test_schedule 	33	33	0	0
distributed/pipelining	test_transformer 	2	2	0	0
distributed/pipelining	test_unflatten 	2	2	0	0
distributed/pipelining	test_stage	8	0	8	0
distributed/_shard/sharded_tensor	test_logger 	1	1	0	0
distributed/_shard/sharded_tensor	test_sharded_tensor 	74	62	0	12
distributed/_shard/sharded_tensor	test_sharded_tensor_reshard 	2	2	0	0
distributed/_shard/shard/sharding/plan	 test_sharding_plan 	3	3	0	0
distributed/_shard/shard/sharding/spec	 test_sharding_spec 	11	6	5	0
distributed/_shard/	 test_sharder 	2	2	0	0
distributed/tensor/experimental	 test_register_sharding 	2	2	0	0
distributed/tensor/parallel	test_micro_pipeline_tp 	45	17	0	28
distributed/tensor/parallel	test_parallelize_api 	16	16	0	0
distributed/tensor/parallel	test_tp_examples 	16	5	11	0
distributed/tensor/parallel	test_tp_random_state 	1	1	0	0
distributed/tensor/parallel	test_tp_style 	9	9	0	0
distributed/tensor	test_api 	8	8	0	0
distributed/tensor	test_attention 	4	1	3	0
distributed/tensor	test_common_rules 	10	10	0	0
distributed/tensor	test_dtensor_compile 	42	40	2	0
distributed/tensor	test_dtensor 	35	32	3	0
distributed/tensor	test_experimental_ops 	3	3	0	0
distributed/tensor	test_init 	7	7	0	0
distributed/tensor	test_math_ops 	20	20	0	0
distributed/tensor	test_random_ops 	13	12	1	0
distributed/tensor	test_redistribute 	21	19	2	0
distributed/tensor	test_tensor_ops 	30	30	0	0
distributed	 test_backends 	4	4	0	0
distributed	 test_c10d_common 	27	27	0	0
distributed	test_c10d_functional_native	32	30	1	1
distributed	 test_c10d_logger 	2	2	0	0
distributed	 test_c10d_object_collectives 	18	18	0	0
distributed	 test_compute_comm_reordering 	8	8	0	0
distributed	 test_control_collectives 	13	13	0	0
distributed	 test_device_mesh 	56	49	7	0
distributed	 test_dynamo_distributed 	60	55	5	0
distributed	 test_fake_pg 	13	10	3	0
distributed	 test_functional_api 	11	11	0	0
distributed	 test_inductor_collectives 	62	61	0	1
distributed	 test_multi_threaded_pg 	22	21	1	0
distributed	 test_store 	120	108	12	0
distributed/_tools/	 test_fsdp2_mem_tracker 	3	3	0	0
distributed/_tools/	 test_memory_tracker 	1	1	0	0
distributed/_tools/	 test_mem_tracker 	3	3	0	0
distributed/_tools/	 test_mod_tracker 	4	4	0	0
 **Total** 	  	2167	1895	203	69
