Testfile,cuda-total,cuda-PASSED,cuda-Skipped,cuda-Failed,stock_xpu-total,stock_xpu-PASSED,stock_xpu-Skipped,stock_xpu-Failed
test/distributed/checkpoint/_experimental/test_checkpointer.py,11.0,11.0,0.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_staging.py,7.0,6.0,1.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_types.py,3.0,3.0,0.0,0.0,,,,
test/distributed/checkpoint/e2e/test_e2e_save_and_load.py,19.0,19.0,0.0,0.0,,,,
test/distributed/checkpoint/e2e/test_fine_tuning.py,1.0,1.0,0.0,0.0,,,,
test/distributed/checkpoint/e2e/test_fsdp_ep.py,1.0,1.0,0.0,0.0,,,,
test/distributed/checkpoint/fsdp/test_fsdp_dsd.py,6.0,6.0,0.0,0.0,,,,
test/distributed/checkpoint/test_async_process_executor.py,1.0,1.0,0.0,0.0,,,,
test/distributed/checkpoint/test_checkpoint.py,8.0,8.0,0.0,0.0,,,,
test/distributed/checkpoint/test_compatibility.py,4.0,4.0,0.0,0.0,,,,
test/distributed/checkpoint/test_consolidate_hf_safetensors.py,7.0,7.0,0.0,0.0,,,,
test/distributed/checkpoint/test_dedup_tensors.py,1.0,1.0,0.0,0.0,,,,
test/distributed/checkpoint/test_dtensor_checkpoint.py,1.0,1.0,0.0,0.0,,,,
test/distributed/checkpoint/test_dtensor_resharding.py,10.0,10.0,0.0,0.0,,,,
test/distributed/checkpoint/test_file_system_checkpoint.py,9.0,9.0,0.0,0.0,,,,
test/distributed/checkpoint/test_file_system_checkpoint_cpu.py,16.0,16.0,0.0,0.0,,,,
test/distributed/checkpoint/test_format_utils.py,3.0,3.0,0.0,0.0,,,,
test/distributed/checkpoint/test_fsdp_model_state.py,2.0,2.0,0.0,0.0,,,,
test/distributed/checkpoint/test_fsdp_optim_state.py,2.0,2.0,0.0,0.0,,,,
test/distributed/checkpoint/test_fsdp_tp_checkpoint_conversion.py,1.0,1.0,0.0,0.0,,,,
test/distributed/checkpoint/test_fsspec.py,3.0,3.0,0.0,0.0,,,,
test/distributed/checkpoint/test_hf_safetensor_e2e.py,11.0,11.0,0.0,0.0,,,,
test/distributed/checkpoint/test_hf_storage.py,5.0,5.0,0.0,0.0,,,,
test/distributed/checkpoint/test_hsdp_checkpoint.py,4.0,4.0,0.0,0.0,,,,
